Year,Filename,Num_Unique_Vars,Unique_Vars
2009,09zpallagi.csv,7,"N01400,A07220,NUMDEP,N01700,A01700,N07220,A01400"
2010,10zpallagi.csv,7,"N01400,A07220,NUMDEP,N01700,A01700,N07220,A01400"
2011,11zpallagi.csv,7,"N01400,A07220,NUMDEP,N01700,A01700,N07220,A01400"
2012,12zpallagi.csv,11,"N01400,MARS4,A07220,A00101,NUMDEP,N01700,A01700,N07220,N00101,MARS1,A01400"
2013,13zpallagi.csv,48,"N09400,A00101,N03240,NUMDEP,A00700,A09400,A03230,N03150,N07230,A07230,A10960,A03210,N10600,A26270,A07240,N03230,MARS4,A01700,N85300,N05800,A10600,N03270,A02900,N02650,A05800,A03270,A07220,N01700,A03220,N26270,A03150,N07220,N02900,N07300,N01400,N00700,N10960,A85300,A07300,N03210,A85330,N07240,A02650,N85330,A03240,MARS1,N03220,A01400"
2014,14zpallagi.csv,61,"N09400,A00101,A85530,N03240,NUMDEP,A85770,A00700,A11560,A09400,A03230,N03150,N07230,A07230,A10960,A03210,N10600,A26270,A07240,N03230,MARS4,N85530,A01700,A03240,N05780,TCE,N85300,N05800,A10600,N03270,N85775,N11560,A02900,A09750,A85775,A05800,A03270,N02650,A07220,N01700,A03220,N26270,A03150,N07220,N09750,N02900,N07300,N01400,N00700,N10960,A85300,A07300,N03210,TOTAL_VITA,N85770,N07240,VITA,A02650,A05780,MARS1,N03220,A01400"
2015,15zpallagi.csv,65,"N09400,A00101,A85530,N03240,NUMDEP,A85770,A00700,A11560,A09400,A03230,N03150,N07230,A07230,A10960,A03210,N10600,A26270,A07240,N03230,MARS4,N85530,VITA_EIC,A03240,A01700,N05780,TCE,ELDERLY,N85300,N05800,A10600,N03270,N85775,N11560,A02900,A09750,RAC,A85775,A05800,A03270,N02650,A07220,N01700,A03220,N26270,A03150,N07220,RAL,N09750,N02900,N07300,N01400,N00700,N10960,A85300,A07300,N03210,TOTAL_VITA,N85770,N07240,VITA,A02650,A05780,MARS1,N03220,A01400"
2016,16zpallagi.csv,81,"N09400,A03230,A07230,A26270,VITA_EIC,A10600,N18800,A02900,N26270,N07220,N02900,A18800,N07240,A05780,A21020,A00101,NUMDEP,N20800,A07240,N85775,RAC,N19530,A85775,A05800,N01700,A03150,N09750,N07300,N00700,N10960,A07300,N03210,TOTAL_VITA,N85770,VITA,A03240,MARS1,A01400,N03240,A09400,N03150,A20800,N07230,A10960,A19530,N85530,A19570,A01700,N85300,N03270,N11560,A03270,A03220,N21020,RAL,N01400,N17000,A19550,A02650,A85530,A19500,A85770,A00700,A11560,A03210,N10600,N03230,MARS4,N19500,N05780,TCE,ELDERLY,N05800,A17000,N19550,A09750,N19570,N02650,A07220,A85300,N03220"
2017,17zpallagi.csv,87,"N09400,A20950,A03230,A07230,A26270,VITA_EIC,A10600,N18800,A02900,N26270,N07220,N02900,A18800,N07240,A05780,A00101,NUMDEP,N11900,N20800,A07240,ELF,A12000,N85775,RAC,N19530,A85775,A05800,N01700,A03150,N09750,A11900,N07300,N00700,N10960,A07300,N03210,TOTAL_VITA,N85770,VITA,A03240,MARS1,A01400,N03240,A09400,N03150,A20800,N07230,A10960,A19530,N85530,A19570,A01700,N12000,N85300,N03270,N11560,A03270,A03220,N20950,DIR_DEP,N01400,CPREP,N17000,A19550,A02650,A85530,A19500,A85770,A00700,A11560,A03210,N10600,N03230,MARS4,N19500,N05780,TCE,ELDERLY,N05800,A17000,N19550,A09750,N19570,N02650,A07220,A85300,N03220"
2018,18zpallagi.csv,87,"N09400,A20950,A07230,A26270,VITA_EIC,A10600,N18800,A02900,N26270,N04100,N02900,N07225,A18800,N07240,A05780,A00101,NUMDEP,N11900,A07240,ELF,A12000,N85775,A04450,RAC,N19530,A85775,A05800,A03150,N09750,A11900,N07300,N00700,N10960,N04475,A07300,N03210,TOTAL_VITA,N85770,VITA,MARS1,A04475,A04100,A09400,A01750,N03150,N07230,A10960,A19530,N04200,N85530,A19570,N12000,N85300,N03270,N11560,A03270,A03220,N20950,DIR_DEP,CPREP,N17000,A02650,N04450,A85530,A19500,N01750,A18460,A85770,A00700,N18460,A07225,A11560,A03210,N10600,MARS4,N19500,N05780,TCE,ELDERLY,N05800,A17000,A09750,N19570,N02650,A85300,N03220,A04200"
2019,19zpallagi.csv,86,"N09400,A20950,A07230,A26270,VITA_EIC,A10600,N18800,A02900,N26270,N04100,N02900,N07225,A18800,N07240,A05780,A00101,N11900,A07240,ELF,A12000,N85775,A04450,RAC,N19530,A85775,A05800,N01700,A03150,A11900,N07300,N00700,N10960,N04475,A07300,N03210,TOTAL_VITA,N85770,VITA,MARS1,A04475,A01400,A04100,A09400,N03150,N07230,A10960,A19530,N04200,N85530,A19570,A01700,N12000,N85300,N03270,N11560,A03270,A03220,N20950,DIR_DEP,N01400,CPREP,N17000,A02650,N04450,A85530,A19500,A18460,A85770,A00700,N18460,A07225,A11560,A03210,N10600,MARS4,N19500,N05780,TCE,ELDERLY,N05800,A17000,N19570,N02650,A85300,N03220,A04200"
2020,20zpallagi.csv,99,"N09400,A20950,A07230,A26270,VITA_EIC,N10970,A10600,N18800,A02900,A11450,N26270,N04100,N02900,N07225,A18800,N07240,A05780,N10973,A00101,N11900,A07240,ELF,A12000,N85775,A04450,RAC,N19530,A85775,A05800,N01700,A03150,A02910,A11900,N07300,N00700,N10960,N04475,A07300,N03210,TOTAL_VITA,N85770,VITA,MARS1,A04475,A01400,A04100,A09400,N03150,N07230,A10960,A19530,N04200,A10973,N85530,VRTCRIND,A19570,A01700,N12000,N85300,N03270,N11560,A03270,A03220,N20950,DIR_DEP,N01400,CPREP,A10970,N17000,N10971,A19550,A02650,N04450,N02910,A85530,A19500,A18460,A85770,A00700,N18460,A07225,A11560,A03210,N10600,MARS4,N19500,A10971,N05780,TCE,ELDERLY,N05800,A17000,N19550,N19570,N02650,N11450,A85300,N03220,A04200"
2021,21zpallagi.csv,101,"N09400,A20950,A07230,A26270,VITA_EIC,N10970,A10600,N18800,A02900,A11450,N26270,N11520,N02900,N04100,N07225,A18800,N07240,A05780,A00101,N11900,A07240,ELF,A12000,N85775,A04450,RAC,N19530,A85775,A05800,N01700,A03150,A02910,A11900,N07300,N00700,N10960,N04475,A07300,N03210,TOTAL_VITA,N85770,VITA,MARS1,A04475,A01400,A04100,A09400,N03150,N07230,A10960,A19530,N04200,N85530,VRTCRIND,A19570,A01700,N12000,N85300,N03270,N11560,A03270,A11520,A03220,N20950,N11530,DIR_DEP,N01400,CPREP,A10970,N17000,N10971,A19550,A02650,N04450,N02910,A85530,A19500,A18460,A85770,A00700,N18460,A07225,A11560,A03210,N10600,MARS4,N19500,A10971,N05780,TCE,A11530,ELDERLY,N05800,A17000,N19550,N19570,N02650,N11450,A85300,N03220,A04200"
